Designator,Mid X,Mid Y,Rotation,Layer
C1,126.2,-138.2,270.0,top
C2,153.8,-138.15,270.0,top
D1,101.0,-82.2,180.0,top
FID1,75.8,-59.8,0.0,top
FID2,166.6,-85.8,0.0,top
FID3,141.4,-152.0,0.0,top
J1,141.0,-89.5,270.0,top
J2,126.865,-149.389,180.0,top
J3,154.335,-149.349,180.0,top
R1,104.8,-82.2,0.0,top
R10,139.4,-139.6,270.0,top
R11,140.4,-143.2,270.0,top
R2,122.9125,-120.0,180.0,top
R3,122.8875,-117.6,180.0,top
R4,122.8875,-127.8,180.0,top
R5,122.9125,-130.2,180.0,top
R6,130.4,-135.2,180.0,top
R7,130.4,-132.8,180.0,top
R8,150.7125,-84.6,180.0,top
R9,150.6875,-82.0,180.0,top
U1,72.3,-59.45,0.0,top
U2,146.5,-79.5,0.0,top
U3,119.0,-79.5,0.0,top
