Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C16, C2, C3, C4, C9",0805,8,100n,C1711
"C11, C12",CP_Elec_10x10.5,2,560u,C1984785
"C14, C15",0805,2,10n,
C17,0805,1,1n,
C5,CP_Elec_10x10.5,1,680u,C50456
C6,CP_Elec_8x6.5,1,220u,C3340
"C7, C8",CP_Elec_6.3x5.9,2,1729034,C340733
D1,0603,1,APTD1608SECK,C5879220
D2,D_SMA,1,B360A-13-F,C6807778
"D3, D4",D_PowerDI-5,2,PDS760-13,C3018534
"D5, D6",D_SOD-323,2,1N5819WS,C191023
F1,5x20 Fuse Holder,1,10A,C151075
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_6.4mm_M6,8,MountingHole,
"H10, H11, H12, H17, H18, H19, H9",MountingHole_4mm,7,MountingHole,
"H13, H14, H15, H16",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical,1,Conn_01x08,
J10,PinHeader_1x02_P2.54mm_Vertical,1,ORIENT,C7494857
J11,PinHeader_1x02_P2.54mm_Vertical,1,OPT,C7494857
J12,JST_PH_B10B-PH-K_1x10_P2.00mm_Vertical,1,IMU,
J13,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,1,Conn_01x10,
J14,BarrelJack_Wuerth_6941xx301002,1,TABLET 1 PWR,C5441017
J15,BarrelJack_Wuerth_6941xx301002,1,TABLET 2 PWR,C5441017
J16,PinHeader_1x02_P2.54mm_Vertical,1,~,C7494857
J2,JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical,1,Conn_01x10,
J3,JST_PH_B12B-PH-K_1x12_P2.00mm_Vertical,1,GNSS,
J4,PinHeader_1x02_P2.54mm_Vertical,1,TERM,C7494857
"J5, J7",Pulse_J0011D01BNL,2,Pulse_J0011D01BNL,C581368
J6,DSUB-9_Male_Vertical_P2.77x2.84mm,1,CAN,
J8,776180-1 AMPHENOL AMP 35pos,1,776180-1,
J9,776279-1 AMPHENOL AMP 8pos,1,776279-1,
L1,ACT1210-510-2P-TL00,1,ACT1210-510-2P-TL00,C95572
L2,MWSA0603S-330MT,1,33uH,C408454
"L3, L4",MWSA1206S-470MT,2,MWSA1206S-470MT,C408531
"Q1, Q2",SOT-23,2,2N7002,
"R1, R10, R11, R17, R2, R3, R4, R5, R6, R7, R8, R9",0805,12,1k,C17513
R12,0805,1,330,C17630
R13,0805,1,10k,C17414
R14,0805,1,120,C17437
"R15, R16",0805,2,3k,C17661
"R18, R20",0805,2,18k,C17506
"R19, R21",0805,2,1k5,C4310
"R22, R23",0805,2,10k,C17513
"R24, R25",0805,2,1k5,
"R26, R27, R28, R29",0805,4,5k1,
U1,MD13S-SUMO,1,MD13S-SUMO,
"U10, U9",TO-263-5_TabPin6,2,LM2587S-ADJ/NOPB,C1355343
U11,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
U12,SOIC-8_3.9x4.9mm_P1.27mm,1,ACS712xLCTR-20A,
U2,simpleRTK2B,1,simpleRTK2B,
U3,Adafruit_BNO085,1,Adafruit BNO085,
"U4, U5",Teensy_4.1,2,~,
U6,HVSON8_0_65mm,1,TJA1462ATK-0Z,C3229259
U7,SOT-23,1,PESD2CANFD24V-TR,C552486
U8,TO-263-5_TabPin3,1,LM2596S-5,C5276750
