Designator,Mid X,Mid Y,Rotation,Layer
C1,145.4,-132.3,0.0,top
C10,171.4,-113.025,90.0,top
C11,190.08,-145.4,90.0,top
C12,166.875,-145.3,90.0,top
C13,210.0,-35.0,270.0,top
C14,208.2,-46.0,90.0,top
C15,213.8,-41.8,180.0,top
C16,236.0,-77.85,270.0,top
C17,236.0,-83.0,90.0,top
C2,125.5,-132.3,0.0,top
C3,146.8,-64.1,270.0,top
C4,149.3,-60.1,270.0,top
C5,233.3825,-136.45,270.0,top
C6,220.5,-124.5,90.0,top
C7,203.0,-126.3,90.0,top
C8,181.0,-126.5,90.0,top
C9,194.8,-113.2,90.0,top
D1,232.5,-119.5,0.0,top
D2,227.5,-126.5,270.0,top
D3,190.08,-136.0,180.0,top
D4,167.075,-135.8,180.0,top
D5,210.2,-46.0,90.0,top
D6,213.8,-39.8,180.0,top
F1,221.75,-148.5,180.0,top
J1,184.135,-42.9,0.0,top
J10,122.9,-62.58,0.0,top
J11,130.05,-62.53,0.0,top
J12,105.3,-31.4,0.0,top
J13,196.45,-97.0,180.0,top
J14,202.65,-145.7,0.0,top
J15,179.55,-145.7,0.0,top
J16,228.94,-86.2,270.0,top
J2,209.385,-84.9,0.0,top
J3,98.39,-108.49,90.0,top
J4,143.1,-54.995,0.0,top
J5,147.0,-143.784,180.0,top
J6,138.91,-41.98,180.0,top
J7,127.12,-143.784,180.0,top
J8,247.8,-109.2,90.0,top
J9,247.8,-49.8,90.0,top
L1,146.5,-55.8,90.0,top
L2,233.5,-128.025,90.0,top
L3,192.0,-120.5,270.0,top
L4,170.0,-120.375,270.0,top
Q1,204.0625,-37.2,180.0,top
Q2,204.0625,-33.4875,180.0,top
R1,143.7,-110.1,180.0,top
R10,158.36,-102.5,0.0,top
R11,158.36,-100.4,0.0,top
R12,228.83,-119.56,180.0,top
R13,143.7,-60.1,90.0,top
R14,150.0,-52.1,0.0,top
R15,194.8,-116.9,90.0,top
R16,171.4,-116.825,90.0,top
R17,117.62,-148.28,270.0,top
R18,200.1875,-135.8,0.0,top
R19,203.7875,-135.8,0.0,top
R2,143.7,-108.0,180.0,top
R20,177.2,-135.6,0.0,top
R21,180.8125,-135.6,0.0,top
R22,125.9,-63.96,90.0,top
R23,133.05,-63.935,90.0,top
R24,213.8,-37.8,0.0,top
R25,212.2,-46.0,270.0,top
R26,207.0625,-37.2,270.0,top
R27,207.0625,-33.4875,270.0,top
R28,197.6,-91.2,270.0,top
R29,195.2,-91.2,270.0,top
R3,143.7875,-118.2,180.0,top
R4,143.7875,-120.3,180.0,top
R5,158.5,-123.35,0.0,top
R6,158.5,-125.4,0.0,top
R7,123.9875,-74.5,180.0,top
R8,137.46,-148.28,270.0,top
R9,123.9875,-72.4,180.0,top
U1,193.585,-64.01,0.0,top
U10,178.2,-108.35,90.0,top
U11,210.0,-39.8,0.0,top
U12,231.0,-81.0,270.0,top
U2,68.05,-89.34,0.0,top
U3,105.15,-48.54,270.0,top
U4,139.3,-69.8,0.0,top
U5,118.96,-69.78,0.0,top
U6,146.4903,-60.10125,0.0,top
U7,150.2375,-54.95,180.0,top
U8,215.8,-136.45,180.0,top
U9,201.7,-108.35,90.0,top
