Designator,Mid X,Mid Y,Rotation,Layer
D1,101.2,-126.6,270.0,top
J1,146.39,-78.2,270.0,top
J10,98.7,-103.35,270.0,top
J11,98.425,-79.375,270.0,top
J12,98.425,-75.565,270.0,top
J13,98.425,-86.995,270.0,top
J14,98.425,-83.185,270.0,top
J15,98.43,-71.755,270.0,top
J16,98.43,-67.945,270.0,top
J17,98.43,-64.135,270.0,top
J18,98.43,-60.325,270.0,top
J19,140.6,-78.2,270.0,top
J2,142.33,-110.64,90.0,top
J20,91.5,-103.35,270.0,top
J21,111.2,-125.73,0.0,top
J22,125.75,-52.125,180.0,top
J23,135.0,-51.405,180.0,top
J3,142.33,-106.83,90.0,top
J4,130.13,-125.4,90.0,top
J5,130.13,-121.59,90.0,top
J6,142.33,-103.02,90.0,top
J7,142.33,-99.21,90.0,top
J8,142.33,-95.4,90.0,top
J9,142.33,-91.59,90.0,top
K1,112.6725,-127.0,90.0,top
U1,119.49,-87.385,270.0,top
