Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C25, C28, C31, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C7, C8",0805,29,100n,C1711
"C10, C9",CP_Elec_10x10.5,2,560u,C1984785
"C23, C29",0805,2,10n,C1710
"C24, C26",0805,2,12p,C1792
"C27, C30, C32, C33",0805,4,1u,C24123
C3,CP_Elec_10x10.5,1,680u,C50456
C4,CP_Elec_8x6.5,1,220u,C3340
"C44, C45, C5, C6",CP_Elec_6.3x5.9,4,100u,C340733
"C46, C47, C48, C49, C50, C51",0805,6,4u7,
D1,0603,1,HSMS-C190,
D2,D_SMA,1,B360A-13-F,C6807778
"D3, D4",D_PowerDI-5,2,PDS760-13,C3018534
F1,5x20 Fuse Holder,1,10A,C151075
"FB1, FB2",0805,2,MI0805K400R-10,
"J1, J3, J4, J5, J6, J7, J8",PinHeader_1x02_P2.54mm_Vertical,7,Conn_01x02,C7494857
"J10, J24, J25",JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,3,CAN BUS,C157993
J11,PhoenixContact_COMBICON_MKDSN_2,1,TRACTOR BATTERY,C3820334
J12,PhoenixContact_COMBICON_MKDSN_2,1,PWR SWITCH,C3820334
J13,PhoenixContact_COMBICON_PT_4,1,VALVE POWER,
J14,BarrelJack_Wuerth_6941xx301002,1,TABLET 1 PWR,C5441017
J15,BarrelJack_Wuerth_6941xx301002,1,TABLET 2 PWR,C5441017
J16,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,SLAVE TABLET,C428495
J17,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,MASTER TABLET,C428495
"J18, J19",USB_A_TE_292303-7_Horizontal,2,292303-7,
J2,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,1,GPS SIM,C157974
J20,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,FRONT HEIGHT,C157993
J21,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,REAR HEIGHT,C157993
J23,DB9_RA_MALE_LD09P13A4,1,CAN,C3103673
J9,PinHeader_1x02_P2.54mm_Vertical,1,TERM,C7494857
L1,ACT1210-510-2P-TL00,1,ACT1210-510-2P-TL00,C95572
L2,Chilisin_Power_Inductor_AWVS_808040,1,33uH,
"L3, L4",IHLP6767DZER470M11,2,IHLP6767DZER470M11,C6577597
"R1, R26",0805,2,330,C17630
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19",0805,10,1k,C17513
"R2, R21, R22, R23, R29, R31, R32, R33, R34, R35",0805,10,10k,C17414
R20,0805,1,1M,C17514
"R24, R25, R28, R30",0805,4,100k,C17407
R27,0805,1,12k,C17444
R3,0805,1,120,C17437
"R4, R5",0805,2,3k,C17661
"R6, R8",0805,2,18k,C17506
"R7, R9",0805,2,1k5,C4310
U1,Teensy_4.0,1,TEENSY 4.0,C2897377
"U10, U11, U12, U13, U14, U15",SSOP-28_5.3x10.2mm_P0.65mm,6,FT232RL,C8690
U16,QFN-64-1EP_9x9mm_P0.5mm_EP4.7x4.7mm_ThermalVias,1,USB2517,C1521556
U17,SOIC-8_3.9x4.9mm_P1.27mm,1,MIC2026-1YM,C144190
"U2, U3, U4",simpleRTK2B,3,simpleRTK2B,
U5,HVSON8_0_65mm,1,TJA1462ATK-0Z,C3229259
U6,SOT-23,1,PESD2CANFD24V-TR,C552486
U7,TO-263-5_TabPin3,1,LM2596S-5,C5276750
"U8, U9",TO-263-5_TabPin6,2,LM2587S-ADJ/NOPB,C1355343
Y1,FA-238,1,FA-238 24.0000MD30X-W5,
