Designator,Mid X,Mid Y,Rotation,Layer
C1,225.5,-61.6,0.0,top
C10,136.2,-37.4,0.0,top
C11,113.95,-146.8075,270.0,top
C12,173.55,-146.4575,270.0,top
C13,108.05,-160.0075,270.0,top
C14,167.65,-159.9575,270.0,top
C15,233.525,-147.4,270.0,top
C16,235.4,-72.4,90.0,top
C17,227.625,-160.6,270.0,top
C18,222.7425,-65.8,180.0,top
C19,192.475,-51.0,90.0,top
C2,226.2097,-58.49875,270.0,top
C20,197.675,-37.8,90.0,top
C21,191.6,-38.5,0.0,top
C22,178.4,-32.6,0.0,top
C23,194.575,-30.335,90.0,top
C24,187.0,-55.5,0.0,top
C25,166.15,-59.6,180.0,top
C26,187.2,-50.1,0.0,top
C27,166.15,-57.5,180.0,top
C28,184.2,-48.8,90.0,top
C29,172.4,-30.5,90.0,top
C3,79.2,-50.975,90.0,top
C30,182.0,-48.8,90.0,top
C31,176.0,-64.8025,270.0,top
C32,174.5,-30.5,90.0,top
C33,167.6,-53.2,180.0,top
C34,183.1,-59.6,270.0,top
C35,179.8,-48.8,90.0,top
C36,178.3,-62.8,270.0,top
C37,174.0,-47.6,90.0,top
C38,176.5,-47.6,90.0,top
C39,182.1,-55.6,0.0,top
C4,90.1,-72.275,90.0,top
C40,181.0,-59.6,270.0,top
C41,167.6,-55.3,180.0,top
C42,232.93,-39.35,180.0,top
C43,205.3,-39.3,180.0,top
C44,187.5,-73.3,180.0,top
C45,172.1,-73.2,0.0,top
C46,236.2,-69.4,0.0,top
C47,178.4,-34.8,0.0,top
C48,199.8,-37.8,90.0,top
C49,111.4,-146.8,90.0,top
C5,101.9,-66.35,0.0,top
C50,171.2,-146.4,90.0,top
C51,230.8,-147.4,90.0,top
C6,134.3,-66.8,0.0,top
C7,127.1,-52.45,270.0,top
C8,159.8,-51.8,270.0,top
C9,103.7,-37.65,0.0,top
D1,72.1,-77.475,90.0,top
D2,78.1,-59.875,180.0,top
D3,117.0,-41.65,180.0,top
D4,150.0,-41.2,180.0,top
F1,67.9,-59.175,90.0,top
FB1,191.675,-31.135,180.0,top
FB2,169.6,-31.2,180.0,top
FID1,68.8,-29.4,0.0,top
FID2,254.0,-29.4,0.0,top
FID3,63.0,-156.2,0.0,top
J1,216.505,-54.17,270.0,top
J10,223.9,-44.3,0.0,top
J11,58.1,-82.875,90.0,top
J12,58.1,-71.075,90.0,top
J13,58.6,-54.475,90.0,top
J14,114.45,-32.95,180.0,top
J15,146.75,-32.9,180.0,top
J16,189.175,-26.935,180.0,top
J17,166.775,-26.835,180.0,top
J18,237.57,-34.58,180.0,top
J19,212.0,-34.62,180.0,top
J2,154.9,-82.25,0.0,top
J20,197.3,-62.3,90.0,top
J21,197.3,-75.5,90.0,top
J23,254.23,-57.0,90.0,top
J24,239.15,-44.3,0.0,top
J25,239.1,-57.15,0.0,top
J3,244.2,-164.505,180.0,top
J4,184.81,-164.115,180.0,top
J5,125.21,-164.315,180.0,top
J6,244.2,-158.205,180.0,top
J7,184.81,-157.715,180.0,top
J8,125.21,-158.015,180.0,top
J9,228.205,-51.6,270.0,top
L1,223.7,-53.9,90.0,top
L2,89.6,-57.375,270.0,top
L3,105.0,-56.625,90.0,top
L4,137.6,-56.425,90.0,top
R1,70.18,-77.315,90.0,top
R10,105.95,-160.0075,270.0,top
R11,110.15,-160.0075,270.0,top
R12,165.55,-159.9575,270.0,top
R13,169.75,-159.9575,270.0,top
R14,225.525,-160.6,270.0,top
R15,229.725,-160.6,270.0,top
R16,222.7425,-63.7,180.0,top
R17,222.7425,-67.9,180.0,top
R18,202.0,-37.8,90.0,top
R19,195.575,-37.8,90.0,top
R2,221.1,-55.0,270.0,top
R20,184.0,-52.8,90.0,top
R21,166.15,-63.7,0.0,top
R22,178.3,-66.3,90.0,top
R23,166.15,-61.7,0.0,top
R24,171.9,-64.8,270.0,top
R25,173.9,-64.8,90.0,top
R26,169.9,-64.8,270.0,top
R27,186.6,-59.6,270.0,top
R28,169.6,-33.2,180.0,top
R29,171.9,-47.6,270.0,top
R3,226.8,-48.7,0.0,top
R30,166.1,-33.2,180.0,top
R31,166.15,-67.7,0.0,top
R32,166.15,-65.7,0.0,top
R33,166.2,-51.1,0.0,top
R34,166.2,-49.1,0.0,top
R35,166.15,-69.7,0.0,top
R4,127.1,-48.85,270.0,top
R5,159.8,-48.2,270.0,top
R6,122.9,-42.15,180.0,top
R7,122.9,-44.25,0.0,top
R8,155.7,-41.4,180.0,top
R9,155.7,-43.5,0.0,top
U1,202.8,-57.45,0.0,top
U10,111.0,-153.4,0.0,top
U11,170.6,-153.3,0.0,top
U12,230.6,-154.0,0.0,top
U13,229.4,-68.8,270.0,top
U14,195.4,-44.4,180.0,top
U15,185.0,-35.525,90.0,top
U16,174.8,-55.8,0.0,top
U17,179.8,-73.2,180.0,top
U2,215.45,-140.06,180.0,top
U3,156.05,-139.86,180.0,top
U4,96.35,-139.86,180.0,top
U5,223.6,-58.4,0.0,top
U6,221.7,-49.5,0.0,top
U7,79.4,-74.65,270.0,top
U8,120.275,-55.625,270.0,top
U9,153.0,-54.875,270.0,top
Y1,187.1,-52.8,0.0,top
