Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,100n,
J1,PinHeader_1x02_P2.54mm_Vertical,1,TERM,
J10,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,BUTTON 7,
J11,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,BUTTON 8,
J12,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,JOYSTICK 1,
J13,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,JOYSTICK 2,
J2,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,1,CAN BUS,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J4,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,BUTTON 1,
J5,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,BUTTON 2,
J6,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,BUTTON 3,
J7,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,BUTTON 4,
J8,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,BUTTON 5,
J9,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,BUTTON 6,
L1,ACT1210-510-2P-TL00,1,ACT1210-510-2P-TL00,
"R1, R10, R3, R4, R5, R6, R7, R8, R9",0805,9,10k,
R2,0805,1,120,
U1,HVSON8_0_65mm,1,TJA1462ATK-0Z,
U2,SOT-23,1,PESD2CANFD24V-TR,
U3,Teensy_4.0,1,TEENSY 4.0,
