Designator,Mid X,Mid Y,Rotation,Layer
C1,148.7903,-62.02625,0.0,top
C2,145.7903,-65.22625,90.0,top
FID1,108.2,-56.2,0.0,top
FID2,144.6,-56.2,0.0,top
FID3,145.8,-102.2,0.0,top
J1,146.8,-76.73,180.0,top
J10,109.4,-100.4,180.0,top
J11,141.0,-73.5,90.0,top
J12,129.4,-100.6,180.0,top
J13,140.95,-86.0,90.0,top
J2,148.35,-87.6,270.0,top
J3,138.5,-64.495,0.0,top
J4,112.55,-67.0,270.0,top
J5,103.55,-67.0,270.0,top
J6,112.55,-79.0,270.0,top
J7,103.5,-79.0,270.0,top
J8,112.55,-91.0,270.0,top
J9,103.55,-91.0,270.0,top
L1,150.3,-73.125,270.0,top
R1,151.5903,-65.22625,270.0,top
R10,137.5,-77.5,90.0,top
R2,149.8,-78.125,270.0,top
R3,107.5,-63.0,270.0,top
R4,116.5,-75.0,270.0,top
R5,107.5,-75.0,270.0,top
R6,116.5,-87.0,270.0,top
R7,116.4,-63.0,270.0,top
R8,107.5,-87.0,270.0,top
R9,116.4,-100.85,270.0,top
U1,148.7,-65.325,180.0,top
U2,146.85,-70.9875,270.0,top
U3,119.3,-62.45,0.0,top
